ID,LONISID,RID
41398,14378,1218
41400,14390,979
41402,14392,72
41404,14393,1106
41406,14398,1250
41408,14400,997
41410,14401,667
41412,14406,1103
41414,14408,149
41416,14412,1250
41418,14413,1205
41420,14414,1118
41422,14419,81
41424,14421,406
41426,14423,406
41428,14427,1183
41430,14429,1114
41432,14434,1200
41434,14436,449
49368,23242,638
49352,24296,1106
49358,65813,709
41440,14443,93
41442,14445,67
41444,14447,1247
41446,14450,1247
41448,14451,1170
41450,14454,1095
41452,14460,476
41454,14462,563
41456,14463,1250
41458,14464,1221
41460,14469,112
41462,14471,1232
41464,14473,1232
41466,14478,598
41468,14481,125
41470,14482,1122
41472,14487,83
41474,14490,1130
41476,14492,708
41478,14495,1055
41480,14501,679
41482,14505,914
41484,14507,57
41486,14510,1408
41488,14517,629
41490,14520,572
41492,14522,1081
41494,14525,1201
41496,14526,106
41498,14527,904
41500,14530,1417
41502,14534,449
41504,14537,1131
41506,14539,1423
41508,14540,1254
41510,14547,1088
41512,14548,1088
41514,14556,1425
41516,14557,673
41518,14559,1074
41520,14562,128
41522,14564,156
41524,14566,1152
41526,14568,1186
41528,14570,1249
41530,14572,1249
41532,14577,1225
41534,14580,1225
41536,14593,1081
41538,14597,566
41540,14600,1286
41542,14602,1286
41544,14605,130
41546,14607,1209
41548,14609,1209
41550,14611,1412
41552,14613,476
41554,14614,478
41556,14615,746
41558,14618,118
41560,14621,1215
41562,14624,626
41564,14626,90
41566,14632,1217
41568,14636,1265
41570,14637,1269
41572,14641,89
41574,14642,443
41576,14647,173
41578,14658,1133
41580,14660,1165
41582,14667,1123
41584,14668,1277
41586,14672,669
41588,14673,1418
41590,14674,66
41592,14676,709
41594,14679,166
41596,14682,1072
41598,14685,1277
41600,14689,129
41602,14691,649
41604,14692,752
41606,14694,1243
41608,14696,649
41610,14698,116
41612,14704,1282
41614,14708,10
41616,14710,10
41618,14711,1080
41620,14713,1421
41622,14714,723
41624,14727,1079
41626,14728,1427
41628,14731,1123
41630,14735,1296
41632,14741,118
41634,14747,1206
41636,14748,1206
41638,14749,1222
41640,14750,1222
41642,14763,563
41644,14767,107
41646,14769,217
41648,14771,108
41650,14773,1057
41652,14775,908
41654,14780,1414
41656,14787,1182
41658,14790,171
41660,14791,160
41662,14794,1290
41664,14797,725
41666,14799,1284
41668,14803,150
41670,14809,1023
41672,14810,120
41674,14814,1309
41676,14816,725
41678,14819,1309
41680,14823,1308
41682,14825,546
41684,14827,1079
41686,14831,1307
41688,14833,169
41690,14835,783
41692,14837,638
41694,14839,1241
41696,14846,702
41698,14847,126
41700,14848,141
41702,14851,96
41704,14860,783
41706,14861,1279
41708,14863,1279
41710,14870,1293
41712,14871,1251
41714,14873,142
41716,14876,1260
41718,14878,186
41720,14881,1256
41722,14886,722
41724,14891,139
41726,14893,139
41728,14897,1240
41730,14899,769
41732,14900,179
41734,14904,872
41736,14910,159
41738,14912,1351
41740,14914,1288
41742,14917,729
41744,14922,1202
41746,14924,549
41748,14925,1211
41750,14926,1419
41752,14928,204
41754,14934,1227
41756,14936,638
41758,14938,1227
41760,14941,155
41762,14944,748
41764,14947,187
41766,14949,187
41768,14950,1409
41770,14951,135
41772,14959,1337
41774,14960,1271
41776,14966,1337
41778,14972,668
41780,14975,1256
41782,14978,829
41784,14982,205
41786,14983,188
41788,14986,750
41790,14987,1387
41792,14992,800
41794,14994,727
41796,14996,231
41798,15009,423
41800,15011,216
41802,15012,423
41804,15013,200
41806,15015,1387
41808,15017,1283
41810,15019,1281
41812,15022,276
41814,15027,291
41816,15028,999
41818,15031,127
41820,15033,718
41822,15039,1299
41824,15046,113
41826,15048,184
41828,15051,184
41830,15052,162
41832,15056,1285
41834,15067,1293
41836,15069,1241
41838,15072,1251
41840,15075,1385
41842,15077,792
41844,15080,223
41846,15087,856
41848,15089,769
41850,15090,792
41852,15094,698
41854,15095,225
41856,15099,232
41858,15104,855
49144,15108,1242
41862,15110,855
41864,15113,1288
41866,15116,1315
41868,15117,1321
41870,15119,1321
41872,15123,1368
41874,15128,830
41876,15129,195
41878,15131,830
49242,15137,1280
41882,15141,1301
41884,15144,158
41886,15145,861
41888,15148,1300
41890,15150,1024
41892,15153,727
41894,15156,293
41896,15160,1275
41898,15166,1385
41900,15175,1314
41902,15176,790
41904,15178,1224
41906,15184,1380
41908,15193,887
41910,15199,222
41912,15201,259
41914,15207,422
41916,15211,1326
41918,15215,331
41920,15218,331
41922,15220,778
41924,15222,294
41926,15226,1292
41928,15228,1292
41930,15234,1267
41932,15238,109
41934,15241,147
41936,15242,767
41938,15244,1267
41940,15246,1330
41942,15248,1194
41944,15254,249
41946,15257,273
41948,15258,1262
41950,15261,1262
41952,15264,1377
41954,15266,770
41956,15269,835
41958,15277,1384
41960,15280,835
41962,15283,1326
41964,15284,292
41966,15286,229
41968,15287,230
41970,15303,1301
41972,15305,1411
41974,15308,1430
41976,15319,326
41978,15326,184
41980,15327,1393
41982,15377,172
41984,15385,269
41986,15419,241
41988,15420,922
41990,15426,658
41992,15427,315
41994,15430,867
41996,15438,729
41998,15440,839
42000,15443,1075
42002,15446,1371
42004,15448,1379
42006,15451,256
42008,15453,262
42010,15455,1322
42012,15456,240
42014,15458,1426
42016,15460,922
42018,15462,906
42020,15468,505
42022,15472,1373
42024,15473,1246
42026,15488,283
42028,15494,314
42030,15497,183
42032,15498,1389
42034,15499,376
42036,15502,376
42038,15506,1341
42040,15508,374
42042,15515,1420
42044,15520,388
42046,15522,388
42048,15524,307
42050,15526,97
42052,15528,227
42054,15530,307
42056,15533,1014
42058,15534,771
42060,15538,372
42062,15541,344
42064,15563,321
42066,15568,873
42068,15579,266
42070,15581,258
42072,15586,771
42074,15590,352
42076,15591,832
42078,15594,1352
42080,15603,1339
42082,15611,351
42084,15619,324
42086,15624,362
42088,15627,303
42090,15631,416
42094,15638,941
42096,15643,1224
42098,15646,912
42100,15649,378
42102,15652,1255
42104,15653,947
42106,15654,878
42108,15655,474
42110,15658,1007
42112,15659,1389
42114,15663,834
42116,15665,361
42118,15667,221
42120,15669,341
42122,15673,441
42124,15675,384
42126,15678,384
42128,15679,1382
42130,15686,441
42132,15692,240
42134,15706,961
42136,15708,1304
42138,15709,1304
42140,15724,1378
42142,15729,1253
42144,15731,196
42146,15736,1255
